Notes,State,State Code,Year,Year Code,UCD - Drug/Alcohol Induced,UCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,Alabama,1,1999,1999,Drug-induced causes,D,195,4430141,4.4
Total,Alabama,1,1999,1999,,,195,4430141,4.4
,Alabama,1,2000,2000,Drug-induced causes,D,232,4447100,5.2
Total,Alabama,1,2000,2000,,,232,4447100,5.2
,Alabama,1,2001,2001,Drug-induced causes,D,253,4467634,5.7
Total,Alabama,1,2001,2001,,,253,4467634,5.7
,Alabama,1,2002,2002,Drug-induced causes,D,248,4480089,5.5
Total,Alabama,1,2002,2002,,,248,4480089,5.5
,Alabama,1,2003,2003,Drug-induced causes,D,255,4503491,5.7
Total,Alabama,1,2003,2003,,,255,4503491,5.7
,Alabama,1,2004,2004,Drug-induced causes,D,327,4530729,7.2
Total,Alabama,1,2004,2004,,,327,4530729,7.2
,Alabama,1,2005,2005,Drug-induced causes,D,332,4569805,7.3
Total,Alabama,1,2005,2005,,,332,4569805,7.3
,Alabama,1,2006,2006,Drug-induced causes,D,466,4628981,10.1
Total,Alabama,1,2006,2006,,,466,4628981,10.1
,Alabama,1,2007,2007,Drug-induced causes,D,554,4672840,11.9
Total,Alabama,1,2007,2007,,,554,4672840,11.9
,Alabama,1,2008,2008,Drug-induced causes,D,646,4718206,13.7
Total,Alabama,1,2008,2008,,,646,4718206,13.7
,Alabama,1,2009,2009,Drug-induced causes,D,688,4757938,14.5
Total,Alabama,1,2009,2009,,,688,4757938,14.5
,Alabama,1,2010,2010,Drug-induced causes,D,585,4779736,12.2
Total,Alabama,1,2010,2010,,,585,4779736,12.2
,Alabama,1,2011,2011,Drug-induced causes,D,605,4802740,12.6
Total,Alabama,1,2011,2011,,,605,4802740,12.6
,Alabama,1,2012,2012,Drug-induced causes,D,632,4822023,13.1
Total,Alabama,1,2012,2012,,,632,4822023,13.1
,Alabama,1,2013,2013,Drug-induced causes,D,648,4833722,13.4
Total,Alabama,1,2013,2013,,,648,4833722,13.4
,Alabama,1,2014,2014,Drug-induced causes,D,800,4849377,16.5
Total,Alabama,1,2014,2014,,,800,4849377,16.5
,Alabama,1,2015,2015,Drug-induced causes,D,810,4858979,16.7
Total,Alabama,1,2015,2015,,,810,4858979,16.7
,Alabama,1,2016,2016,Drug-induced causes,D,855,4863300,17.6
Total,Alabama,1,2016,2016,,,855,4863300,17.6
,Alabama,1,2017,2017,Drug-induced causes,D,960,4874747,19.7
Total,Alabama,1,2017,2017,,,960,4874747,19.7
,Alabama,1,2018,2018,Drug-induced causes,D,895,4887871,18.3
Total,Alabama,1,2018,2018,,,895,4887871,18.3
,Alabama,1,2019,2019,Drug-induced causes,D,906,4903185,18.5
Total,Alabama,1,2019,2019,,,906,4903185,18.5
,Alabama,1,2020,2020,Drug-induced causes,D,1213,4921532,24.6
Total,Alabama,1,2020,2020,,,1213,4921532,24.6
Total,Alabama,1,,,,,13105,103604166,12.6
,Alaska,2,1999,1999,Drug-induced causes,D,56,624779,9
Total,Alaska,2,1999,1999,,,56,624779,9
,Alaska,2,2000,2000,Drug-induced causes,D,54,626932,8.6
Total,Alaska,2,2000,2000,,,54,626932,8.6
,Alaska,2,2001,2001,Drug-induced causes,D,72,633714,11.4
Total,Alaska,2,2001,2001,,,72,633714,11.4
,Alaska,2,2002,2002,Drug-induced causes,D,85,642337,13.2
Total,Alaska,2,2002,2002,,,85,642337,13.2
,Alaska,2,2003,2003,Drug-induced causes,D,86,648414,13.3
Total,Alaska,2,2003,2003,,,86,648414,13.3
,Alaska,2,2004,2004,Drug-induced causes,D,92,659286,14
Total,Alaska,2,2004,2004,,,92,659286,14
,Alaska,2,2005,2005,Drug-induced causes,D,85,666946,12.7
Total,Alaska,2,2005,2005,,,85,666946,12.7
,Alaska,2,2006,2006,Drug-induced causes,D,85,675302,12.6
Total,Alaska,2,2006,2006,,,85,675302,12.6
,Alaska,2,2007,2007,Drug-induced causes,D,75,680300,11
Total,Alaska,2,2007,2007,,,75,680300,11
,Alaska,2,2008,2008,Drug-induced causes,D,132,687455,19.2
Total,Alaska,2,2008,2008,,,132,687455,19.2
,Alaska,2,2009,2009,Drug-induced causes,D,133,698895,19
Total,Alaska,2,2009,2009,,,133,698895,19
,Alaska,2,2010,2010,Drug-induced causes,D,84,710231,11.8
Total,Alaska,2,2010,2010,,,84,710231,11.8
,Alaska,2,2011,2011,Drug-induced causes,D,107,722718,14.8
Total,Alaska,2,2011,2011,,,107,722718,14.8
,Alaska,2,2012,2012,Drug-induced causes,D,132,731449,18
Total,Alaska,2,2012,2012,,,132,731449,18
,Alaska,2,2013,2013,Drug-induced causes,D,110,735132,15
Total,Alaska,2,2013,2013,,,110,735132,15
,Alaska,2,2014,2014,Drug-induced causes,D,127,736732,17.2
Total,Alaska,2,2014,2014,,,127,736732,17.2
,Alaska,2,2015,2015,Drug-induced causes,D,127,738432,17.2
Total,Alaska,2,2015,2015,,,127,738432,17.2
,Alaska,2,2016,2016,Drug-induced causes,D,138,741894,18.6
Total,Alaska,2,2016,2016,,,138,741894,18.6
,Alaska,2,2017,2017,Drug-induced causes,D,158,739795,21.4
Total,Alaska,2,2017,2017,,,158,739795,21.4
,Alaska,2,2018,2018,Drug-induced causes,D,119,737438,16.1
Total,Alaska,2,2018,2018,,,119,737438,16.1
,Alaska,2,2019,2019,Drug-induced causes,D,149,731545,20.4
Total,Alaska,2,2019,2019,,,149,731545,20.4
,Alaska,2,2020,2020,Drug-induced causes,D,179,731158,24.5
Total,Alaska,2,2020,2020,,,179,731158,24.5
Total,Alaska,2,,,,,2385,15300884,15.6
,Arizona,4,1999,1999,Drug-induced causes,D,557,5023823,11.1
Total,Arizona,4,1999,1999,,,557,5023823,11.1
,Arizona,4,2000,2000,Drug-induced causes,D,559,5130632,10.9
Total,Arizona,4,2000,2000,,,559,5130632,10.9
,Arizona,4,2001,2001,Drug-induced causes,D,598,5273477,11.3
Total,Arizona,4,2001,2001,,,598,5273477,11.3
,Arizona,4,2002,2002,Drug-induced causes,D,667,5396255,12.4
Total,Arizona,4,2002,2002,,,667,5396255,12.4
,Arizona,4,2003,2003,Drug-induced causes,D,739,5510364,13.4
Total,Arizona,4,2003,2003,,,739,5510364,13.4
