STATEFP,YEAR,INDICATOR,VALUE,STATE,STATEABBREVIATION
00,2004,SA_fac,11056.0,United States,US
01,2004,SA_fac,84.0,Alabama,AL
02,2004,SA_fac,50.0,Alaska,AK
04,2004,SA_fac,144.0,Arizona,AZ
05,2004,SA_fac,44.0,Arkansas,AR
06,2004,SA_fac,1547.0,California,CA
08,2004,SA_fac,370.0,Colorado,CO
09,2004,SA_fac,176.0,Connecticut,CT
10,2004,SA_fac,37.0,Delaware,DE
11,2004,SA_fac,46.0,District of Columbia,DC
12,2004,SA_fac,400.0,Florida,FL
13,2004,SA_fac,161.0,Georgia,GA
15,2004,SA_fac,78.0,Hawaii,HI
16,2004,SA_fac,66.0,Idaho,ID
17,2004,SA_fac,534.0,Illinois,IL
18,2004,SA_fac,281.0,Indiana,IN
19,2004,SA_fac,87.0,Iowa,IA
20,2004,SA_fac,176.0,Kansas,KS
21,2004,SA_fac,284.0,Kentucky,KY
22,2004,SA_fac,124.0,Louisiana,LA
23,2004,SA_fac,164.0,Maine,ME
24,2004,SA_fac,310.0,Maryland,MD
25,2004,SA_fac,229.0,Massachusetts,MA
26,2004,SA_fac,487.0,Michigan,MI
27,2004,SA_fac,226.0,Minnesota,MN
28,2004,SA_fac,79.0,Mississippi,MS
29,2004,SA_fac,167.0,Missouri,MO
30,2004,SA_fac,34.0,Montana,MT
31,2004,SA_fac,83.0,Nebraska,NE
32,2004,SA_fac,53.0,Nevada,NV
33,2004,SA_fac,43.0,New Hampshire,NH
34,2004,SA_fac,267.0,New Jersey,NJ
35,2004,SA_fac,59.0,New Mexico,NM
36,2004,SA_fac,960.0,New York,NY
37,2004,SA_fac,253.0,North Carolina,NC
38,2004,SA_fac,45.0,North Dakota,ND
39,2004,SA_fac,398.0,Ohio,OH
40,2004,SA_fac,119.0,Oklahoma,OK
41,2004,SA_fac,186.0,Oregon,OR
42,2004,SA_fac,368.0,Pennsylvania,PA
44,2004,SA_fac,49.0,Rhode Island,RI
45,2004,SA_fac,80.0,South Carolina,SC
46,2004,SA_fac,41.0,South Dakota,SD
47,2004,SA_fac,154.0,Tennessee,TN
48,2004,SA_fac,490.0,Texas,TX
49,2004,SA_fac,104.0,Utah,UT
50,2004,SA_fac,30.0,Vermont,VT
51,2004,SA_fac,118.0,Virginia,VA
53,2004,SA_fac,293.0,Washington,WA
54,2004,SA_fac,66.0,West Virginia,WV
55,2004,SA_fac,205.0,Wisconsin,WI
56,2004,SA_fac,39.0,Wyoming,WY
72,2004,SA_fac,168.0,Puerto Rico,PR
00,2004,Med_SA_fac,5749.0,United States,US
01,2004,Med_SA_fac,37.0,Alabama,AL
02,2004,Med_SA_fac,35.0,Alaska,AK
04,2004,Med_SA_fac,69.0,Arizona,AZ
05,2004,Med_SA_fac,11.0,Arkansas,AR
06,2004,Med_SA_fac,398.0,California,CA
08,2004,Med_SA_fac,104.0,Colorado,CO
09,2004,Med_SA_fac,128.0,Connecticut,CT
10,2004,Med_SA_fac,22.0,Delaware,DE
11,2004,Med_SA_fac,20.0,District of Columbia,DC
12,2004,Med_SA_fac,144.0,Florida,FL
13,2004,Med_SA_fac,95.0,Georgia,GA
